Class Feature1 Feature2 Feature3 Feature4 Feature5 Feature6
89.663449 547.149139 94.985420 107.497730 718.778351 0.869552 1.268291
29.537244 533.029660 140.556117 1897.965540 903.264008 0.870885 1.107996
21.546268 465.539902 402.026650 1077.573434 2289.161226 0.871880 0.977065
12.024985 262.312791 197.909418 746.032898 928.937996 0.872550 1.107767
14.688734 325.870819 147.207207 285.622985 875.797937 0.872908 0.981473
12.427754 543.709369 366.419586 1366.751607 1475.459443 0.872966 0.979999
15.836064 345.014795 396.438541 654.749024 2468.627150 0.872737 0.977177
23.381762 315.800262 94.184453 914.354535 627.455021 0.872232 1.014359
40.590541 255.815088 340.514399 245.512166 2001.079953 0.871464 0.900847
18.136555 180.028762 84.394137 395.387699 1105.594716 0.870442 0.938451
19.308910 332.672663 180.381546 520.948913 763.523259 0.869180 1.065785
11.752326 157.512231 197.169193 354.022576 1951.416894 0.867687 1.101008
123.911579 417.713205 225.169928 319.390783 1306.657056 0.865975 1.180896
175.133693 431.092268 209.074651 390.469252 771.800590 0.864055 1.070966
19.499500 410.409694 266.578871 728.202954 705.539130 0.861935 1.052099
29.156786 332.625487 192.291981 406.054067 1008.583991 0.859628 1.106351
115.107198 458.674175 238.046823 341.435960 748.794129 0.857141 1.123167
8.002921 280.294540 182.644905 793.679135 1380.689669 0.854486 1.105212
38.842977 412.141054 146.507692 1546.105763 1187.223900 0.851672 1.170277
64.262331 425.518366 54.194576 60.014708 502.453460 0.848707 1.454460
33.531348 684.937384 209.896011 207.724962 213.133510 0.845601 1.495570
21.865736 496.664877 393.191779 417.446640 596.206647 0.842363 1.236175
62.123603 634.938053 860.327405 1086.702542 1845.142529 0.839001 0.969248
19.580727 483.326926 640.025267 1094.512404 1348.407307 0.835524 1.002018
21.876640 427.339883 454.747583 1665.604435 2051.938213 0.831940 1.006591
65.126612 594.671526 133.702416 328.188158 1209.144291 0.828257 1.314077
86.398140 314.401110 463.918405 155.907411 1873.317344 0.824482 1.044878
127.668883 600.018001 405.674187 1415.446922 3651.681197 0.820624 1.071803
46.518088 478.852930 353.297228 365.430491 543.086498 0.816689 1.029844
6.205129 216.866866 65.361142 297.371599 1093.718836 0.812685 1.040870
34.051919 400.902983 255.178950 411.712096 1294.566619 0.808619 1.020657
20.602094 288.297607 180.297269 531.943822 832.499186 0.804498 0.932251
2.329094 96.880386 82.391216 137.985212 196.097636 0.800328 0.778933
14.075198 402.098249 314.962274 332.256802 2418.716521 0.796116 1.163888
32.044130 460.466738 127.607325 142.984408 1772.969030 0.791868 1.280665
183.209911 513.836695 60.087239 279.865843 850.579459 0.787590 1.455903
154.268430 558.329727 160.946360 142.790205 652.756229 0.783288 1.281293
12.498009 378.945734 281.628568 646.119112 948.011476 0.778968 1.069334
26.903499 465.711921 186.541917 1176.880120 686.192239 0.774635 1.102278
91.098367 254.009305 334.514854 1263.798249 2752.881215 0.770295 0.931983
157.504803 404.968614 766.807204 566.223566 1114.228067 0.765952 1.099862
29.380413 351.812407 501.528607 828.425940 959.505651 0.761613 0.843941
2.751717 173.208465 200.632439 1133.596875 669.728497 0.757281 0.745043
8.506611 125.128197 95.512434 400.638579 874.544259 0.752961 1.013562
14.945286 266.441641 82.269839 96.156678 470.551740 0.748658 1.083886
2.093622 208.434271 110.355627 288.764692 158.446379 0.744377 0.963170
11.613999 53.276869 75.072646 327.723421 376.391429 0.740121 0.749423
6.534135 78.221953 68.934522 171.973853 1474.479755 0.735894 0.841410
40.981538 762.586817 620.806156 660.694818 2575.137930 0.731701 1.123635
9.446262 239.781160 411.197909 600.736453 1165.374649 0.727544 0.877310
9.534939 303.183791 187.227484 443.384369 2340.767241 0.723429 0.955011
11.784301 268.879961 237.052523 722.939140 493.394384 0.719357 1.076284
4.930456 305.749369 189.760913 593.952474 1567.434525 0.715332 0.730691
61.479937 305.973825 173.572182 716.006483 1105.541239 0.711358 1.067483
86.451885 209.832996 145.332432 389.605786 3013.839581 0.707438 0.794996
21.048721 167.388682 256.797398 859.357565 705.752670 0.703573 0.939780
24.100708 425.726056 304.360869 282.499336 897.978752 0.699767 1.064274
44.677957 278.239465 248.781873 512.264962 669.776988 0.696023 1.101202
30.866359 212.607492 225.592729 589.338525 1494.380184 0.692342 0.888136
20.138851 396.868946 516.236687 544.034190 519.763190 0.688728 0.888740
3.159948 294.796001 493.953459 395.840913 973.996053 0.685182 0.849817
20.684955 277.843685 172.759705 422.064682 946.580920 0.681706 1.070934
46.098517 264.075869 195.613582 752.449233 940.258176 0.678302 0.839373
6.910863 169.458440 102.413416 1131.299183 713.679534 0.674971 0.958653
26.432959 353.297738 481.195329 521.435467 944.174642 0.671717 0.929236
2.663570 165.725785 203.371824 568.007465 1417.977649 0.668539 0.752397
6.834009 237.112532 42.275803 996.966049 332.571000 0.665439 0.997117
2.127684 85.873881 92.212329 318.403740 633.025957 0.662419 0.891383
7.717107 162.452419 90.302489 520.436290 456.316678 0.659480 0.811495
53.513817 291.484649 84.419526 280.400982 175.179617 0.656622 0.952597
14.333756 162.796942 299.038738 126.700290 2536.164308 0.653847 0.725417
3.595098 368.577224 487.861843 931.536740 3842.070880 0.651155 0.681574
8.733691 342.977749 389.728343 1637.870739 1915.222986 0.648547 0.787662
16.348854 194.168124 221.551398 920.327128 330.751729 0.646024 0.888178
37.587776 172.383805 53.992440 846.987295 496.260734 0.643586 1.089409
10.050266 235.421102 115.694617 282.357382 649.866509 0.641233 0.919632
119.448295 468.164644 125.213916 78.578201 4345.472082 0.638966 0.904338
12.016334 245.108855 35.674325 140.940572 952.729436 0.636785 1.085732
24.830135 175.884895 322.439102 1575.659563 2269.807749 0.634690 0.931789
8.087242 328.119134 432.421048 887.642419 1932.485849 0.632680 0.853908
10.603740 486.848715 331.501559 1665.377033 4007.772060 0.630756 0.877014
19.651389 288.737643 489.557672 548.343183 1778.502744 0.628918 0.950385
21.361533 286.292369 311.814454 506.070144 487.645562 0.627164 0.953113
16.401232 245.282358 504.825327 620.174290 749.038625 0.625496 0.923348
7.186230 424.637577 388.196385 356.638116 4835.813550 0.623911 0.747374
10.866589 202.432447 150.369416 429.224340 1680.503814 0.622410 0.844748
4.810384 264.059935 445.271431 607.699968 1182.728433 0.620992 0.823601
24.757572 219.036366 379.214930 1108.911743 1471.920784 0.619656 0.904514
35.079056 295.452377 204.298726 995.762135 778.201157 0.618402 0.826047
25.073100 327.165388 320.927746 724.361203 501.358652 0.617228 1.017720
21.796316 311.371738 73.552508 204.497190 645.705498 0.616134 1.205274
26.558931 174.946367 101.388021 331.866060 382.232656 0.615117 1.240446
30.757180 444.716755 36.833075 379.759825 458.648646 0.614179 1.240352
81.308508 448.862101 154.997603 353.270580 2205.693826 0.613316 1.173725
1.758249 233.149797 172.131372 414.951578 2603.463788 0.612528 0.992120
20.106412 562.340464 455.974959 571.410388 2346.317739 0.611813 0.959659
14.316750 360.870006 146.454839 977.149427 1690.961407 0.611171 0.969801
25.980873 333.421050 253.349080 265.079816 109.773989 0.610599 0.953703
12.871167 314.315697 194.176172 283.626841 959.864928 0.610096 1.071864
22.937329 181.322549 212.994539 413.036941 621.878838 0.609661 1.074791
35.254113 162.846682 174.392161 1463.488074 1460.235715 0.609292 0.861348
14.595338 192.413360 139.016857 716.366384 1818.406004 0.608986 0.949668
24.957560 210.256616 34.818197 537.420856 1072.555004 0.608744 0.932103
9.836125 231.717162 67.708741 1045.358524 1321.986089 0.608562 0.872898
7.165240 318.135329 362.834133 465.059083 1287.162589 0.608438 0.817515
5.834093 337.858229 476.541340 625.894247 1053.236138 0.608372 0.956204
15.528333 323.559729 425.717352 1239.262642 730.097635 0.608361 0.898081
118.551460 211.113044 175.007596 1982.497342 1157.793639 0.608403 0.908889
31.634093 279.420998 239.684866 787.586791 1977.533223 0.608496 1.035436
13.901047 246.215176 247.361280 292.263966 803.271073 0.608638 0.837161
10.268601 213.601053 171.919052 1660.652334 273.263727 0.608826 0.749375
14.401878 251.075112 384.079163 635.923043 844.606049 0.609060 0.938357
37.283118 380.512382 757.487151 1705.156970 2003.216347 0.609336 0.965169
46.499925 252.477314 96.532750 390.063580 268.123668 0.609653 1.124925
