Feature1 Feature2 Feature3 Feature4 Feature5 Feature6 Class
5.975730 101.828726 117.509840 1986.761070 1443.491119 0.609292 0.694680
5.973883 121.663433 135.074361 306.210838 3221.214691 0.608986 0.744175
34.473561 138.361326 212.304264 277.973225 1065.894023 0.608744 0.818968
3.485525 210.517820 246.988973 1746.384743 1794.246430 0.608562 0.623101
9.196681 258.131715 436.980218 552.567584 4715.633596 0.608438 0.559896
19.786937 170.172267 600.679801 1518.925646 1824.830327 0.608372 0.656223
9.212080 192.381933 338.506844 2633.326166 3412.673151 0.608361 0.634126
55.042401 200.959828 322.658858 1739.085048 1706.077580 0.608403 0.732103
5.612655 162.658079 399.711068 940.128933 2204.187505 0.608496 0.745152
40.840448 239.604737 229.760481 1259.836835 1897.575380 0.608638 0.633292
7.463120 171.431787 357.677296 1283.382758 675.528259 0.608826 0.679587
12.743879 219.958045 237.196564 977.649623 546.832766 0.609060 0.728550
8.358421 292.739377 353.169256 2404.064028 2153.974175 0.609336 0.869260
22.542800 190.683249 63.351924 289.373228 362.276589 0.609653 1.226458
6.623828 169.874209 209.627905 319.283686 2478.230636 0.610008 0.852355
24.070586 224.806036 676.241531 980.429641 1466.989694 0.610398 0.746872
15.221017 165.526266 164.339563 822.311367 2794.197169 0.610823 0.576412
21.271430 305.148455 405.602592 3321.618873 2236.079401 0.611279 0.584450
11.896412 157.651478 307.499603 1747.959064 1079.427310 0.613925 0.713940
11.329667 178.682286 43.466977 410.735125 617.588823 0.615230 1.152497
12.905310 288.837049 205.078856 303.276341 1303.463613 0.611261 1.144846
9.134462 248.941812 569.323312 1262.551220 558.985382 0.610234 0.940958
3.126941 317.720188 588.265343 3600.952113 7855.783706 0.609421 0.746550
23.452521 208.876208 167.684618 887.646185 1184.400527 0.610310 0.879375
20.094737 474.320580 747.912943 2088.998057 2922.421160 0.606538 0.790766
5.808783 118.322501 484.660249 1463.326279 3268.413861 0.602615 0.732006
8.493575 173.133868 237.192793 846.912431 1981.386171 0.596516 0.832239
4.961331 370.849482 397.012280 1214.696148 2294.799354 0.586587 0.710788
37.471853 123.542983 56.333106 227.081051 742.043854 0.582204 1.089728
15.726509 312.697256 873.534255 1614.829065 3498.306745 0.575688 0.654423
41.724037 374.968282 1194.779760 5131.233590 1254.713920 0.575810 0.791556
17.890568 308.018559 935.807950 2071.204511 4871.555434 0.573864 0.848457
8.608366 254.436727 209.751533 706.395721 1016.949773 0.572382 1.093940
57.925588 343.556385 438.564076 897.973103 2964.931660 0.573894 0.837863
66.273859 323.216160 198.114318 765.475915 794.135693 0.574925 1.000150
59.236551 803.344411 878.982293 1651.301480 1397.872517 0.581934 0.880580
17.495659 369.299087 100.869372 1593.029090 1588.386239 0.585324 0.953554
2.367131 103.450716 552.464429 716.893743 1003.692606 0.585459 0.814940
23.570772 136.971858 344.705552 1190.656112 1317.843600 0.585438 0.828509
18.313955 262.125716 505.593355 533.321533 631.926200 0.583165 0.864491
16.951193 190.798647 816.408721 790.008790 539.775201 0.580422 0.927242
7.781318 332.726123 343.752533 669.836171 1058.354903 0.574074 0.971993
42.070641 220.728869 128.053786 327.134134 1835.220970 0.567001 0.775018
15.643516 171.510348 136.813750 689.629806 594.908195 0.563507 0.753853
10.586952 213.503037 430.389704 1038.496671 748.412982 0.561393 0.849533
14.699857 451.638398 463.704936 1484.128730 3641.663263 0.561716 0.820812
19.770610 177.325574 344.469142 1090.505382 1957.096355 0.562080 1.016381
8.768651 113.533143 167.391894 697.284741 2213.638358 0.563283 0.975521
15.815500 132.954798 56.783818 265.757318 1104.362913 0.563571 0.942239
16.709824 166.951459 146.788101 487.082702 1283.972260 0.565049 0.958241
27.495940 280.167729 614.567537 1175.217344 2160.870678 0.564849 0.637411
23.220253 111.471493 344.808207 2076.084519 4748.336000 0.565940 0.749606
17.635713 469.430685 1093.358060 1188.312770 3456.293720 0.568384 0.838361
19.350427 267.355412 276.433913 2721.652700 4199.842414 0.575501 0.764460
22.288365 233.772046 446.488569 2439.741073 3158.814614 0.577748 0.728557
5.378317 203.890535 550.288193 1138.770873 3106.907492 0.585334 0.752071
13.857054 261.004356 365.176692 807.634242 1385.324257 0.591058 0.783028
24.241095 255.410440 943.325691 1213.753932 1195.916782 0.595547 0.719468
17.760190 139.656442 146.522302 2070.589634 2365.975841 0.593403 0.840648
21.025525 283.186438 616.095483 2227.918361 4283.604200 0.584713 0.801311
17.090610 254.429412 65.143815 343.910575 1767.999427 0.575459 0.860691
5.359370 185.873486 567.047282 1011.037715 930.693243 0.575099 0.822296
23.906428 158.316317 611.155464 1623.803461 2970.193812 0.575771 0.680172
4.247210 63.882536 99.235170 285.116364 1407.719677 0.577451 0.737368
35.043445 368.073802 923.595503 466.410588 1841.120504 0.580049 0.646488
3.944117 127.857982 360.296466 714.780691 1175.391721 0.584654 0.734633
13.002429 164.974698 188.583814 392.348158 1755.648743 0.586460 0.666603
